Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_Bruto;Tipo Agregado
Apartamento;Ipanema;3;2;1;165;7500.0;2200.0;532.0;9700.0;Apartamento
Apartamento;Ipanema;3;2;2;160;6000.0;3500.0;4600.0;9500.0;Apartamento
Apartamento;Flamengo;1;1;0;48;2100.0;580.0;70.0;2680.0;Apartamento
Apartamento;Leblon;2;1;1;87;4800.0;1300.0;361.0;6100.0;Apartamento
Apartamento;Barra da Tijuca;3;1;1;105;2500.0;1400.0;1500.0;3900.0;Apartamento
Apartamento;Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0;4910.0;Apartamento
Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;;6400.0;Apartamento
Apartamento;Gávea;3;0;1;120;2700.0;880.0;238.0;3580.0;Apartamento
Apartamento;Humaitá;2;2;1;112;4500.0;1300.0;;5800.0;Apartamento
Apartamento;Vila da Penha;2;0;0;60;900.0;160.0;25.0;1060.0;Apartamento
Apartamento;Lagoa;1;1;0;75;2800.0;800.0;210.0;3600.0;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;9100.0;Apartamento
Apartamento;Engenho Novo;2;0;0;53;1400.0;460.0;12.0;1860.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;1;132;2800.0;879.0;;3679.0;Apartamento
Apartamento;Barra da Tijuca;2;2;1;86;3500.0;1307.0;;4807.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1700.0;690.0;150.0;2390.0;Apartamento
Apartamento;Recreio dos Bandeirantes;4;2;2;200;3600.0;1177.0;320.0;4777.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0;3330.0;Apartamento
Apartamento;Engenho Novo;1;1;0;63;700.0;625.0;36.0;1325.0;Apartamento
Apartamento;Barra da Tijuca;4;2;2;149;4500.0;2130.0;;6630.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;106;2500.0;780.0;248.0;3280.0;Apartamento
Apartamento;Anil;2;1;0;48;1100.0;400.0;;1500.0;Apartamento
Apartamento;Gávea;2;1;1;68;2700.0;850.0;186.0;3550.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;75;1400.0;1280.0;;2680.0;Apartamento
Apartamento;Ipanema;2;1;1;97;7000.0;4000.0;4725.0;11000.0;Apartamento
Apartamento;Cachambi;3;0;0;70;900.0;200.0;30.0;1100.0;Apartamento
Apartamento;Copacabana;4;2;1;279;3150.0;2025.0;370.0;5175.0;Apartamento
Apartamento;Cachambi;2;1;0;70;950.0;530.0;30.0;1480.0;Apartamento
Apartamento;Recreio dos Bandeirantes;4;2;1;400;3500.0;800.0;500.0;4300.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;89;1800.0;884.0;170.0;2684.0;Apartamento
Apartamento;Maracanã;1;1;1;120;1000.0;985.0;150.0;1985.0;Apartamento
Apartamento;Recreio dos Bandeirantes;4;3;2;181;3500.0;1080.0;423.0;4580.0;Apartamento
Apartamento;Tijuca;2;1;1;70;1500.0;890.0;68.0;2390.0;Apartamento
Apartamento;Vaz Lobo;2;0;0;70;1000.0;32.0;;1032.0;Apartamento
Apartamento;Madureira;2;0;0;40;600.0;415.0;;1015.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;0;0;75;1700.0;659.0;;2359.0;Apartamento
Apartamento;Copacabana;2;1;1;81;2900.0;893.0;190.0;3793.0;Apartamento
Apartamento;Campo Grande;2;0;1;58;1000.0;;;;Apartamento
Apartamento;Praça Seca;3;0;0;90;900.0;330.0;15.0;1230.0;Apartamento
Apartamento;Vila Isabel;3;3;1;124;1700.0;1400.0;;3100.0;Apartamento
Apartamento;Recreio dos Bandeirantes;5;3;4;430;6000.0;899.0;750.0;6899.0;Apartamento
Apartamento;Ipanema;2;0;1;75;5200.0;476.0;120.0;5676.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;2;1;126;1500.0;1000.0;150.0;2500.0;Apartamento
Apartamento;Laranjeiras;2;1;1;70;2300.0;620.0;190.0;2920.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;94;1900.0;1300.0;198.0;3200.0;Apartamento
Apartamento;Barra da Tijuca;4;3;4;192;5000.0;2200.0;562.0;7200.0;Apartamento
Apartamento;Copacabana;1;0;0;43;1600.0;452.0;242.0;2052.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;2200.0;780.0;;2980.0;Apartamento
Apartamento;São Francisco Xavier;3;1;1;73;1200.0;520.0;;1720.0;Apartamento
Apartamento;Copacabana;3;0;0;120;3000.0;1420.0;;4420.0;Apartamento
Apartamento;Pechincha;2;1;0;64;800.0;248.0;14.0;1048.0;Apartamento
Apartamento;Copacabana;1;0;0;45;2800.0;450.0;30.0;3250.0;Apartamento
Apartamento;Laranjeiras;2;0;0;110;2500.0;968.0;167.0;3468.0;Apartamento
Apartamento;Flamengo;2;0;0;85;2700.0;800.0;1150.0;3500.0;Apartamento
Apartamento;Leme;3;1;1;175;8000.0;1380.0;;9380.0;Apartamento
Apartamento;Jacarepaguá;2;1;0;68;1100.0;540.0;;1640.0;Apartamento
